Stimulated Channel,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
None,1894044.77 Ohm,2149092.04 Ohm,2034464.52 Ohm,318956.26 Ohm,1976197.44 Ohm,3216767.53 Ohm,3008714.29 Ohm,1948634.59 Ohm,2035353.90 Ohm,2280147.43 Ohm,177.07 Ohm,2561560.50 Ohm,2004545.08 Ohm,2126425.04 Ohm,1871616.09 Ohm,2781484.08 Ohm
12,1833670.04 Ohm,1274868.29 Ohm,2037639.52 Ohm,322268.38 Ohm,1985681.51 Ohm,3224907.05 Ohm,3011631.52 Ohm,1964840.83 Ohm,2024086.47 Ohm,2284987.33 Ohm,74.22 Ohm,2559575.15 Ohm,2010501.16 Ohm,2136629.28 Ohm,1874117.37 Ohm,2772038.68 Ohm
4,1892553.53 Ohm,1175590.46 Ohm,1370336.71 Ohm,334528.85 Ohm,1965193.91 Ohm,3227689.79 Ohm,3017402.01 Ohm,1972541.50 Ohm,2039888.93 Ohm,2289651.71 Ohm,236.29 Ohm,2571591.66 Ohm,2012347.31 Ohm,2139583.59 Ohm,1890685.81 Ohm,2800041.05 Ohm
5,1943815.31 Ohm,1145158.82 Ohm,926964.38 Ohm,359515.65 Ohm,1546603.53 Ohm,3248479.43 Ohm,3031695.45 Ohm,1984488.40 Ohm,2050315.11 Ohm,2294349.30 Ohm,287.04 Ohm,2567346.01 Ohm,2014652.39 Ohm,2115059.13 Ohm,1880877.47 Ohm,2798766.86 Ohm
10,1936892.43 Ohm,1168352.50 Ohm,892307.62 Ohm,359930.95 Ohm,846228.66 Ohm,3230312.88 Ohm,2995746.06 Ohm,1970502.86 Ohm,2037780.93 Ohm,2282881.19 Ohm,51.81 Ohm,2551676.25 Ohm,2006464.75 Ohm,2127888.70 Ohm,1884993.50 Ohm,2809714.00 Ohm
11,1939797.68 Ohm,1141052.81 Ohm,883821.42 Ohm,351596.37 Ohm,612487.70 Ohm,3268608.20 Ohm,3028039.13 Ohm,1972748.70 Ohm,2048810.44 Ohm,2290057.46 Ohm,225.13 Ohm,2559564.03 Ohm,2020599.38 Ohm,2137841.37 Ohm,1895780.76 Ohm,2797992.16 Ohm
2,1935690.37 Ohm,1147109.43 Ohm,881683.66 Ohm,340355.56 Ohm,577974.27 Ohm,3283196.13 Ohm,3021850.44 Ohm,1488995.64 Ohm,2049101.67 Ohm,2296593.19 Ohm,131.05 Ohm,2558718.14 Ohm,2029762.34 Ohm,2141300.59 Ohm,1896308.20 Ohm,2800117.63 Ohm
3,1916147.73 Ohm,1242960.74 Ohm,878433.73 Ohm,330321.85 Ohm,683711.32 Ohm,3223864.29 Ohm,3044484.21 Ohm,1000925.20 Ohm,2047233.35 Ohm,2293677.90 Ohm,54.22 Ohm,2565652.97 Ohm,2024468.75 Ohm,2134016.71 Ohm,1878245.43 Ohm,2797535.15 Ohm
8,1920678.42 Ohm,1265031.07 Ohm,877629.45 Ohm,335719.79 Ohm,762862.54 Ohm,3200627.24 Ohm,3036632.45 Ohm,999080.41 Ohm,1180976.32 Ohm,2326423.31 Ohm,158.20 Ohm,2564035.59 Ohm,2025215.76 Ohm,2138188.23 Ohm,1894871.83 Ohm,2797907.73 Ohm
9,1926744.95 Ohm,1288253.92 Ohm,872993.76 Ohm,324138.35 Ohm,801826.92 Ohm,3199999.14 Ohm,3030110.91 Ohm,1009328.87 Ohm,1144734.97 Ohm,1462242.95 Ohm,65.89 Ohm,2551513.24 Ohm,2024611.29 Ohm,2138258.48 Ohm,1875910.72 Ohm,2785704.57 Ohm
0,1933675.16 Ohm,1299606.90 Ohm,874193.10 Ohm,327629.46 Ohm,831416.08 Ohm,3207681.06 Ohm,3029952.55 Ohm,1017897.40 Ohm,1150897.09 Ohm,1439009.95 Ohm,1416625.69 Ohm,2552372.85 Ohm,2032704.50 Ohm,2143002.09 Ohm,1906808.05 Ohm,2762104.41 Ohm
1,1925228.24 Ohm,1310667.19 Ohm,880231.08 Ohm,324503.70 Ohm,837100.83 Ohm,3221906.23 Ohm,3008958.68 Ohm,999530.04 Ohm,1143495.32 Ohm,1426996.77 Ohm,1388407.35 Ohm,2618090.90 Ohm,1931641.08 Ohm,2156991.93 Ohm,1937297.02 Ohm,2762287.57 Ohm
13,1934776.15 Ohm,1318380.90 Ohm,874119.89 Ohm,327829.87 Ohm,859592.57 Ohm,3204479.84 Ohm,3038170.86 Ohm,1031817.27 Ohm,1219015.06 Ohm,1497627.46 Ohm,1347018.91 Ohm,2601384.21 Ohm,848585.74 Ohm,2169449.14 Ohm,1962640.08 Ohm,2766623.93 Ohm
6,1919697.42 Ohm,1305285.11 Ohm,868179.03 Ohm,325878.60 Ohm,869752.11 Ohm,3198009.13 Ohm,3009075.53 Ohm,1035652.77 Ohm,1220978.12 Ohm,1507630.51 Ohm,1326009.51 Ohm,2571056.81 Ohm,825761.78 Ohm,1127699.76 Ohm,1881594.03 Ohm,2746979.82 Ohm
7,1944037.59 Ohm,1332494.40 Ohm,869339.29 Ohm,334108.80 Ohm,880735.74 Ohm,3209209.03 Ohm,3017795.53 Ohm,1041957.82 Ohm,1242185.89 Ohm,1528715.75 Ohm,1329833.90 Ohm,2575269.58 Ohm,825581.83 Ohm,1088867.90 Ohm,1176589.34 Ohm,2749073.80 Ohm
15,1934820.09 Ohm,1344419.67 Ohm,868713.78 Ohm,323521.51 Ohm,887590.93 Ohm,3219356.99 Ohm,3022639.90 Ohm,1044804.96 Ohm,1250072.13 Ohm,1532355.91 Ohm,1327081.25 Ohm,2559453.62 Ohm,808232.92 Ohm,1070757.94 Ohm,1139052.29 Ohm,2757850.35 Ohm
